date,spot_close,spot_volume,perp_volume,oi_usd
2023-11-21,35741.65,1756747495.981855,449054.6789218954,2845194505.732809
2023-11-22,37408.34,1657141022.427348,337694.1952243763,3026378339.461956
2023-11-23,37294.28,888826648.8541473,185428.19292710617,3057750085.3923225
2023-11-24,37713.57,1688715728.079148,351142.04756778653,3018835666.994448
2023-11-25,37780.67,430165251.7609749,82615.28689640258,3006025723.6993985
2023-11-26,37447.43,797321193.5893991,173711.3064568084,2963275700.0085974
2023-11-27,37242.7,1112557435.2767923,266129.9065747866,2952124139.0838675
2023-11-28,37818.87,1414360251.6823456,318517.104742328,3067880980.8751297
2023-11-29,37854.64,1252586505.66259,261714.11212290745,3128139384.511229
2023-11-30,37723.96,934491058.960814,191248.96182490035,3117097512.2204986
2023-12-01,38682.52,1669750777.6239817,342438.01174147724,3443559199.282448
2023-12-02,39450.35,1043421976.7660652,204597.6360063229,3221789216.8538594
2023-12-03,39972.26,1059860641.0494444,221987.65398644205,3199286630.598865
2023-12-04,41991.1,3285736844.1408806,601310.1729174416,3494587646.022633
2023-12-05,44073.32,2890205389.4901266,575218.8409662116,3642037743.262727
2023-12-06,43762.69,2256979505.594805,383929.4874501635,3733542502.265616
2023-12-07,43273.14,2046945851.8836448,346110.6046778772,3612413386.550218
2023-12-08,44170.99,1875581755.4469104,281952.4240429657,3630911040.64843
2023-12-09,43713.6,1096487106.564834,189399.1656150502,3535278787.7921176
2023-12-10,43789.51,830485162.5569535,144593.69064084633,3643790466.816644
2023-12-11,41253.4,3205540835.511434,620892.698788133,3118144061.202584
2023-12-12,41492.39,1773961284.3375635,356637.55626814574,3212589210.8276715
2023-12-13,42869.03,1919703389.4848804,396835.58657357167,3371856529.643268
2023-12-14,43022.26,1798740625.30166,343242.62755345093,3286697229.17526
2023-12-15,41940.3,1416898938.509979,257106.0802696352,3182828816.545373
2023-12-16,42278.03,1020469627.8857332,160599.9198316241,3186356356.828128
2023-12-17,41374.65,1161963642.9627964,224793.4815833569,3161349566.997117
2023-12-18,42657.8,1936003306.0825727,374539.957240076,3223987794.521974
2023-12-19,42275.99,1747830242.4615936,315410.94678098493,3247375689.026277
2023-12-20,43668.93,2115813869.779619,377127.4172254271,3485882959.309812
2023-12-21,43861.8,1514529919.1877797,277009.19186904613,3536257260.018043
2023-12-22,43969.04,1436074497.5128598,238416.8440724214,3403551782.667442
2023-12-23,43702.16,722943825.3332176,120827.49225146252,3438981162.499689
2023-12-24,42991.5,1093460634.889423,179700.9984305807,3321931772.8379745
2023-12-25,43576.13,1172053386.5109816,183596.22531903832,3382481357.0253143
2023-12-26,42508.93,1746333612.304945,295395.60291796364,3386942465.7960463
2023-12-27,43428.85,1554082990.052276,247913.30588064413,3305347018.2941146
2023-12-28,42563.76,1508408742.378081,257595.86916233104,3221211734.4189672
2023-12-29,42066.95,1803086285.2465773,336805.8621082433,3188332379.368154
2023-12-30,42140.28,964875790.984935,183948.4669941085,3183665014.538936
2023-12-31,42283.58,1001519241.5559052,173564.3872944891,3132379131.476518
2024-01-01,44179.55,1169995682.0280013,206487.4587926047,3389481866.605507
2024-01-02,44946.91,2944331821.823076,459943.0260634135,3589856261.639663
2024-01-03,42845.23,3507104563.744232,596042.5028044377,2943934702.970365
2024-01-04,44151.1,2095095359.4936347,332066.2389086949,3151256576.518341
2024-01-05,44145.11,2100953924.3687155,371027.3075581781,2971505386.68111
2024-01-06,43968.32,781212883.4916061,138586.34111902525,3006269649.816396
2024-01-07,43929.02,1014635096.1241482,180767.5115312317,3099449311.041275
2024-01-08,46951.04,3298772150.681508,495081.99079982354,3505137445.5195603
2024-01-09,46110.0,3251442072.8083963,513303.149926244,3265514393.042921
2024-01-10,46653.99,4123809481.712767,668867.6336132686,3200696163.8672743
2024-01-11,46339.16,4105139605.028302,596620.9555555178,3309789903.1998706
2024-01-12,42782.73,3827483735.576057,576124.277456254,3198902519.087222
2024-01-13,42847.99,1547370611.5531662,207802.6180183928,3220842346.05687
2024-01-14,41732.35,1202212782.257693,181153.96895696904,3217771643.720456
2024-01-15,42511.1,1718982911.1081028,240134.2256773241,3142681233.924714
2024-01-16,43137.95,1931947150.05907,287297.50247781293,3198356610.37576
2024-01-17,42776.1,1419888430.9228892,209461.89436649776,3242285951.074139
2024-01-18,41327.5,1839426541.263579,335122.01203901874,3212459285.035715
2024-01-19,41659.03,1993846466.538752,346048.4461475383,3104547966.83942
2024-01-20,41696.04,662768008.1509343,95880.45684061963,3111919285.2525253
2024-01-21,41580.33,489151571.0309043,67056.61432885121,3105121679.2038484
2024-01-22,39568.02,2247452153.7954326,459168.3776672497,3017314076.406894
2024-01-23,39897.6,2275851990.6468267,414503.5668900295,3025623270.32705
2024-01-24,40084.88,1569704923.8307493,272839.89786811965,3059229182.969483
2024-01-25,39961.09,1238813296.1526136,203699.65385844305,3114788930.479574
2024-01-26,41823.51,1951700659.289807,355530.18633018964,3317766738.541064
2024-01-27,42120.63,678418702.3509445,118474.33888574265,3296329016.092109
2024-01-28,42031.06,1154365891.668259,205801.1161423016,3159480621.4811163
2024-01-29,43302.7,1343462280.3618684,249580.5287255556,3336195966.848748
2024-01-30,42941.1,1633251085.6713595,257663.5524285528,3169850843.1884265
2024-01-31,42580.0,1711665577.0530825,313152.0170205116,3063469124.4567904
2024-02-01,43082.94,1497121440.6440022,274399.1107760908,3183423768.9750743
2024-02-02,43200.0,1277919437.2905612,205824.1013643052,3209099829.502741
2024-02-03,43011.09,518775350.0336009,89763.42385602531,3255020628.4308724
2024-02-04,42582.88,730999557.7083682,127461.596701,3291069692.4791007
2024-02-05,42708.7,1262620640.5407174,240731.3052809896,3406871226.694817
2024-02-06,43098.95,1061049582.6002768,196172.57683505933,3461112876.4815383
2024-02-07,44349.6,1496013692.382922,252135.2504244721,3672234947.297466
2024-02-08,45288.65,2042912128.1517663,299790.6418484046,3854418443.335207
2024-02-09,47132.77,3453043306.420976,520082.83011597785,3921569434.750443
2024-02-10,47751.09,1176079377.6922762,179683.06079453923,4144464767.405132
2024-02-11,48299.99,1443314885.7714052,210017.7050033697,4316924831.079231
2024-02-12,49917.27,2898220863.0181804,451036.83672003774,4614097316.921931
2024-02-13,49699.59,2745025370.067447,382392.5595441909,4384061003.703872
2024-02-14,51795.17,2919604456.723313,395316.0001163113,4693154773.625431
2024-02-15,51880.0,2802825737.9920154,392848.0366770279,4527561232.397685
2024-02-16,52124.11,1965003863.9713345,259657.98308285623,4567147826.61341
2024-02-17,51642.64,1319908544.979089,222411.2660862587,4522414502.076624
2024-02-18,52137.67,1139209588.4334626,166688.79997053384,4464466463.118152
2024-02-19,51774.73,1539600521.6007729,196437.2429937303,4544779219.059606
2024-02-20,52258.82,2574874999.3787174,385412.0492741878,4562058717.098329
2024-02-21,51849.39,2210278288.725095,307671.0058753088,4476045299.963873
2024-02-22,51288.42,1820949707.158534,244125.0926160917,4357065620.700417
2024-02-23,50744.15,1559143576.8296163,215535.872823274,4481633511.354011
2024-02-24,51568.22,847793393.571868,104947.65777416706,4493341751.864433
2024-02-25,51728.85,966951114.4504628,122148.00816033273,4474846409.700737
2024-02-26,54476.47,2710403072.980595,393589.7327194746,4631729639.229379
2024-02-27,57037.34,3795949115.224932,511501.77893168427,4607182691.365079
2024-02-28,62432.1,7162581994.48574,1000612.4395270498,4709888757.452445
2024-02-29,61130.98,4872212871.27608,584769.022653332,4405062561.543692
2024-03-01,62387.9,2956537377.9660296,299296.43756838026,4613894655.581513
2024-03-02,61987.28,1582566973.834093,159333.69198019168,4524827252.369226
2024-03-03,63113.97,1804536272.9443457,200374.5411010513,4779424920.706775
2024-03-04,68245.71,5568877537.081252,632958.9670349158,5540973983.72774
2024-03-05,63724.01,8674526591.287142,1045799.825498483,4573906622.167149
2024-03-06,66074.04,5197743036.597276,534179.4703098849,4846404279.058142
2024-03-07,66823.17,3548088039.2736087,296144.6452686327,4915267204.274168
2024-03-08,68124.19,5044395324.399055,459531.65581000247,5046168152.65028
2024-03-09,68313.27,1355964036.909299,94928.75281321204,5036266992.917727
2024-03-10,68955.88,2659307501.0945783,233670.39272746223,5342753925.25085
2024-03-11,72078.1,5352704377.618805,474545.5111948554,5730756705.19585
2024-03-12,71452.01,4909667978.559339,472172.6336317566,5587642549.555
2024-03-13,73072.41,3829764501.253793,288308.1950395391,5880972587.661363
2024-03-14,71388.94,5132189849.096632,514030.4514458973,6003009014.441198
2024-03-15,69499.85,7065279917.872112,705125.3808734961,5520044072.029989
2024-03-16,65300.63,3788544202.884856,333258.1674151308,5005368392.001317
2024-03-17,68393.48,3322963634.2425127,314989.1472506743,5377268716.342095
2024-03-18,67609.99,3768277912.418918,317907.93033843726,5354473582.60937
2024-03-19,61937.4,6484805948.535393,700687.076348912,4833170025.221331
2024-03-20,67840.51,5769770052.062583,637548.3450271074,5224767062.395491
2024-03-21,65501.27,3551223142.964417,346061.70031201164,4939673779.293826
2024-03-22,63796.64,3310481978.107645,401275.4145768257,4665351548.468976
2024-03-23,63990.01,1706152172.6316135,237950.71761452133,4735072631.614824
2024-03-24,67209.99,2059312948.648688,244256.1808042761,5182847308.84911
2024-03-25,69880.01,3679964073.811213,395280.388927203,5512708383.649217
2024-03-26,69988.0,2738537345.33588,307942.21508981445,5581234375.310413
2024-03-27,69469.99,3426458581.943343,407885.9396176732,5782543160.313058
2024-03-28,70780.6,2500571208.0026274,242258.5381407655,5888437958.861349
2024-03-29,69850.54,1779608477.3224535,188030.2825091136,5670768696.373468
2024-03-30,69582.18,954555919.6855744,91155.02910131056,5590086237.769463
2024-03-31,71280.01,1367523707.261245,132500.41790918802,5903611636.376549
2024-04-01,69649.8,2876486469.465523,282891.2680297047,5868099800.664289
2024-04-02,65463.99,4750030717.922425,492333.3761793406,5113826422.038819
2024-04-03,65963.28,2630556596.1359286,274561.45878617605,5285716530.208103
2024-04-04,68487.79,2795469450.572386,326451.93588290334,5375073141.400545
2024-04-05,67820.62,2555458935.236009,313645.78716410947,5100187192.571315
2024-04-06,68896.0,1373131967.764819,127383.75024147656,5272317744.765618
2024-04-07,69360.39,1496213373.1855776,171837.45368833753,5554070256.214422
2024-04-08,71620.0,3270853309.6629424,297327.0697888932,5753346896.864449
2024-04-09,69146.0,2749007421.6421075,334158.97545090056,5550227797.822238
2024-04-10,70631.08,2901564970.815804,337880.8428694505,5618133252.614048
2024-04-11,70006.23,2247473274.6162577,256196.5825035361,5725230965.276478
2024-04-12,67116.52,3843551585.321274,406216.90320292447,5377864894.506626
2024-04-13,63924.51,4614468627.809045,508765.780275177,4279137238.010539
2024-04-14,65661.84,3946124834.6970353,395894.5238896943,4397924298.599803
2024-04-15,63419.99,3398072231.5612235,381672.6673525536,4183450807.005738
2024-04-16,63793.39,3355338198.446913,406059.0235968252,4093243782.8611646
2024-04-17,61277.37,3128625247.4738536,444132.2422819859,4108303625.1632
2024-04-18,63470.08,2726741448.886802,363272.304920077,4292392694.051728
2024-04-19,63818.01,4419893235.183288,574444.5516828875,4202663043.014985
2024-04-20,64940.59,1486949581.439479,197204.2219801337,4366365965.082426
2024-04-21,64941.15,1254396628.1531763,160584.40395650823,4343078518.707535
2024-04-22,66819.32,2071690434.976552,246345.81337121443,4613144015.988779
2024-04-23,66414.0,1502139968.7198818,178663.84755560962,4520584434.803748
2024-04-24,64289.59,2195714861.657656,280566.60361527186,4503990334.959275
2024-04-25,64498.34,2007704069.2622728,275054.5257088337,4340723528.339423
2024-04-26,63770.01,1736631357.3537388,202212.9387294384,4291093697.219999
2024-04-27,63461.98,1320337707.7871158,167401.7069674075,4260906240.236904
2024-04-28,63118.62,1078450016.4732296,126095.77055555428,4149090748.033347
